Address,Lot Size,Total SQFT,Year Built,Bed,Full Bath,Sale Date,Sale Price,Description
6530 LAS FLORES DR,0.1177,2706,1981,3,2,3/29/19,425000,TOWNHOUSE
6530 CONTEMPO LN,0.1079,2619,1987,3,2,3/15/18,395000,TOWNHOUSE
6528 VIA ROSA,0.1462,2902,1988,3,2,6/4/17,367500,SINGLE FAMILY
6526 VIA BENITA,0.1458,2860,1986,3,2,11/14/17,335000,SINGLE FAMILY
6522 CASABELLA LN,0.1494,2648,1979,3,2,2/16/17,312500,SINGLE FAMILY
6519 VIA ROSA,0.1263,2470,1989,3,2,5/19/17,355000,SINGLE FAMILY
6518 VIA ROSA,0.1396,2902,1988,3,2,5/31/19,420000,SINGLE FAMILY
6518 VIA ROSA,0.1396,2902,1988,3,2,1/8/18,340000,SINGLE FAMILY
6512 LAS FLORES DR,0.0683,2738,1981,3,2,8/9/19,381000,TOWNHOUSE
6512 LAS FLORES DR,0.0683,2738,1981,3,2,5/17/19,286000,TOWNHOUSE
6498 WOODBURY RD,0.1965,2394,1978,3,2,5/17/17,423250,SINGLE FAMILY
6497 VIA ROSA,0.1654,3245,1991,3,2,10/30/18,560000,SINGLE FAMILY
6491 VIA ROSA,0.1423,3123,1992,3,2,3/6/19,460000,SINGLE FAMILY
6490 QUINTANA PL,0.1842,2544,1981,3,2,8/15/17,360000,TOWNHOUSE
6485 VIA ROSA,0.1669,3411,1992,3,2,11/1/18,490000,SINGLE FAMILY
6478 VIA BENITA,0.1554,3280,1986,3,2,4/23/19,450000,SINGLE FAMILY
6474 LAS FLORES DR,0.1245,2344,1981,3,2,11/22/19,350000,TOWNHOUSE
6473 CASABELLA LN,0.1494,2584,1978,3,2,5/16/17,327000,SINGLE FAMILY
6461 CASABELLA LN,0.1543,2452,1980,3,2,7/20/19,302000,SINGLE FAMILY
6452 VIA ROSA,0.1263,3123,1992,3,2,2/15/17,428000,SINGLE FAMILY
6438 WOODBURY RD,0.1947,2957,1978,3,3,5/18/17,480000,SINGLE FAMILY
6438 CASABELLA LN,0.1494,2640,1979,3,2,2/17/17,324900,SINGLE FAMILY
6437 LAS FLORES DR,0.1442,2344,1981,3,2,7/9/17,385000,TOWNHOUSE
6436 VIA ROSA,0.1263,2658,1988,3,2,8/20/19,420000,SINGLE FAMILY
6432 VIA ROSA,0.264,3130,1986,3,2,3/16/18,430000,SINGLE FAMILY
6426 VIA ROSA,0.1321,2822,1987,3,2,7/25/19,492000,SINGLE FAMILY
6426 VIA ROSA,0.1321,2822,1987,3,2,3/29/19,307500,SINGLE FAMILY
6414 CASABELLA LN,0.1494,2632,1979,3,2,9/18/18,358500,SINGLE FAMILY
6413 CASABELLA LN,0.1494,2675,1979,3,2,6/21/17,350000,SINGLE FAMILY
6410 VIA TIERRA,0.1135,2455,1981,3,2,10/19/18,340000,TOWNHOUSE
6406 VIA ROSA,0.1419,2951,1985,3,2,4/9/19,390000,SINGLE FAMILY
6401 VIA ROSA,0.1463,2860,1986,3,2,9/6/17,399000,SINGLE FAMILY
6401 CASABELLA LN,0.1555,2636,1979,3,2,8/13/18,342000,SINGLE FAMILY
6400 VIA TIERRA,0.0697,2315,1981,3,2,5/8/17,377000,TOWNHOUSE
6396 VIA ROSA,0.1421,2860,1986,3,2,9/19/19,430000,SINGLE FAMILY
6396 VIA ROSA,0.1421,2860,1986,3,2,3/22/18,430000,SINGLE FAMILY
6395 VIA ROSA,0.1463,3136,1986,3,2,9/22/17,495000,SINGLE FAMILY
6388 VIA ROSA,0.1518,2954,1992,3,2,4/18/19,442500,SINGLE FAMILY
6386 VIA ROSA,0.1733,2865,1985,3,2,7/2/18,492000,SINGLE FAMILY
6379 TOULON DR,0.0795,2002,1986,3,2,6/6/19,270000,TOWNHOUSE
6370 BOCA CIR,0.0344,1092,1983,3,2,6/30/17,198000,TOWNHOUSE
6362 LAS FLORES DR,0.0952,2344,1981,3,2,5/24/18,340000,TOWNHOUSE
6360 VIA TIERRA,0.0941,2315,1981,3,2,2/12/19,440000,TOWNHOUSE
6353 CASABELLA LN,0.1494,2612,1979,3,2,10/21/19,305000,SINGLE FAMILY
6341 CASABELLA LN,0.1836,2457,1979,3,2,4/18/19,315000,SINGLE FAMILY
6339 TOULON DR,0.068,2002,1987,3,2,4/27/17,305000,TOWNHOUSE
6338 LAS FLORES DR,0.0953,2344,1981,3,2,2/27/17,350000,TOWNHOUSE
6337 LAS FLORES DR,0.1136,2544,1981,3,2,7/29/19,390000,TOWNHOUSE
6322 LAS FLORES DR,0.0683,2315,1981,3,2,6/21/17,340000,TOWNHOUSE
6317 CASABELLA LN,0.1572,2516,1979,3,2,4/25/19,285000,SINGLE FAMILY
6306 WOODBURY RD,0.1971,2652,1980,3,2,3/2/18,426000,SINGLE FAMILY
6306 CASABELLA LN,0.2425,2520,1979,3,2,5/21/19,367000,SINGLE FAMILY
6298 VIA PALLADIUM,0.1265,2587,1990,3,2,11/13/18,380000,SINGLE FAMILY
6298 LAS FLORES DR,0.131,2589,1981,3,2,8/23/17,312000,TOWNHOUSE
6291 VIA PALLADIUM,0.1263,2587,1991,3,2,3/28/19,390000,SINGLE FAMILY
6280 VIA PALLADIUM,0.1263,2587,1990,3,2,2/28/19,382500,SINGLE FAMILY
6260 VIA TIERRA,0.1478,2344,1981,3,2,4/5/17,370000,TOWNHOUSE
6231 LA VIDA TER,0.1291,2540,1987,3,2,12/29/17,432750,SINGLE FAMILY
6220 PETALUMA DR,0.1519,2632,1980,3,2,4/10/18,310000,SINGLE FAMILY
6208 PETALUMA DR,0.1519,2552,1980,3,2,9/18/19,367500,SINGLE FAMILY
6191 PETALUMA DR,0.1615,2556,1980,3,2,6/20/19,335000,SINGLE FAMILY
6186 PETALUMA DR,0.1519,2630,1980,3,2,3/21/18,310400,SINGLE FAMILY
6185 WOODBURY RD,0.2763,2404,1979,3,2,9/25/19,405000,SINGLE FAMILY
6163 AMBERWOODS DR,0.1702,2366,1979,3,2,8/24/19,435000,SINGLE FAMILY
6163 AMBERWOODS DR,0.1702,2366,1979,3,2,7/11/17,416163,SINGLE FAMILY
6140 AMBERWOODS DR,0.1581,2149,1981,3,2,10/10/19,379900,SINGLE FAMILY
6120 PETALUMA DR,0.1519,2584,1980,3,2,5/7/19,310000,SINGLE FAMILY
6116 AMBERWOODS DR,0.158,2579,1984,3,2,2/21/17,360000,SINGLE FAMILY
6098 PETALUMA DR,0.1519,2652,1980,3,2,5/9/19,295000,SINGLE FAMILY
6097 PETALUMA DR,0.1519,2632,1980,3,2,3/1/18,265000,SINGLE FAMILY
6082 GLENDALE DR,0.0445,2689,1980,3,2,11/19/19,320000,TOWNHOUSE
6082 GLENDALE DR,0.0445,2689,1980,3,2,8/31/17,315000,TOWNHOUSE
6082 AMBERWOODS DR,0.1734,2292,1979,3,2,4/28/17,385000,SINGLE FAMILY
6078 WOODBURY RD,0.2539,2784,1979,3,2,8/1/17,395000,SINGLE FAMILY
6077 WOODBURY RD,0.2721,2962,1979,3,2,12/28/18,480000,SINGLE FAMILY
6077 WOODBURY RD,0.2721,2962,1979,3,2,6/15/17,460000,SINGLE FAMILY
