Address,Lot Size,Total SQFT,Year Built,Bed,Full Bath,Sale Date,Sale Price,Description
1955 FREDERICK SMALL RD,0.0582,2407,2003,3,2,5/25/21,475000,TOWNHOUSE
1952 JEAGA DR,0.1693,2853,2003,3,2,5/23/23,833200,SINGLE FAMILY
1935 FREDERICK SMALL RD,0.0582,2407,2003,3,2,9/15/23,650000,TOWNHOUSE
1931 FREDERICK SMALL RD,0.0582,2407,2003,3,2,1/13/22,574000,TOWNHOUSE
182 SORIANO DR,0.0798,2427,2003,3,3,3/30/21,435000,TOWNHOUSE
1689 JEAGA DR,0.075,2427,2003,3,3,9/15/22,650000,TOWNHOUSE
1687 FREDERICK SMALL RD,0.0833,2419,2003,3,2,9/14/22,620000,TOWNHOUSE
1683 FREDERICK SMALL RD,0.0582,2407,2003,3,2,7/21/21,480000,TOWNHOUSE
167 INDIAN CROSSING CIR,0.0275,2274,2003,3,2,1/19/23,490000,TOWNHOUSE
1663 FREDERICK SMALL RD,0.0869,2419,2003,3,2,4/13/21,417900,TOWNHOUSE
1659 FREDERICK SMALL RD,0.0583,2407,2003,3,2,9/6/23,755000,TOWNHOUSE
1659 FREDERICK SMALL RD,0.0583,2407,2003,3,2,1/31/23,572000,TOWNHOUSE
1649 JEAGA DR,0.0809,2427,2003,3,3,1/14/22,585000,TOWNHOUSE
1643 FREDERICK SMALL RD,0.0928,2419,2003,3,2,5/10/22,683000,TOWNHOUSE
164 SORIANO DR,0.1092,2427,2003,3,3,12/6/23,675000,TOWNHOUSE
1633 JEAGA DR,0.0809,2427,2003,3,3,7/29/21,495000,TOWNHOUSE
1627 FREDERICK SMALL RD,0.0584,2407,2003,3,2,9/10/22,635000,TOWNHOUSE
1619 FREDERICK SMALL RD,0.0938,2419,2003,3,2,8/11/23,655000,TOWNHOUSE
1615 FREDERICK SMALL RD,0.0869,2419,2003,3,2,7/2/21,485000,TOWNHOUSE
161 RIVINIA DR,0.076,2427,2003,3,3,7/31/23,639000,TOWNHOUSE
161 APALACHEE LN,0.0275,2274,2003,3,2,7/31/23,545000,TOWNHOUSE
159 INDIAN CROSSING CIR,0.0415,2573,2003,3,2,6/30/21,360000,TOWNHOUSE
156 SAVONA DR,0.239,4789,2003,5,4,11/8/21,1400000,SINGLE FAMILY
153 SAVONA DR,0.1634,2756,2003,3,2,6/28/21,835000,SINGLE FAMILY
152 MORNING DEW CIR,0.0522,2533,2003,3,2,2/1/23,525000,TOWNHOUSE
152 MORNING DEW CIR,0.0522,2533,2003,3,2,5/10/22,515000,TOWNHOUSE
151 SEGOVIA WAY,0.2531,4903,2003,3,3,5/4/22,2500000,SINGLE FAMILY
151 APALACHEE LN,0.0275,2274,2003,3,2,6/11/21,380000,TOWNHOUSE
148 SAVONA DR,0.1862,3009,2003,3,2,9/29/22,960000,SINGLE FAMILY
147 MORNING DEW CIR,0.0275,2419,2003,3,2,10/14/21,405000,TOWNHOUSE
147 BARCELONA DR,0.2717,4743,2003,5,4,7/23/21,2150000,SINGLE FAMILY
146 MORNING DEW CIR,0.0298,2274,2003,3,2,12/15/21,419000,TOWNHOUSE
144 MORNING DEW CIR,0.0298,2314,2003,3,2,3/31/22,455000,TOWNHOUSE
141 BARCELONA DR,0.2717,4844,2003,4,3,1/24/22,1950000,SINGLE FAMILY
137 RIVINIA DR,0.1087,2427,2003,3,3,4/3/23,667500,TOWNHOUSE
133 BARCELONA DR,0.3636,7023,2003,4,4,2/18/22,2525000,SINGLE FAMILY
133 BARCELONA DR,0.3636,7023,2003,4,4,2/3/22,2525000,SINGLE FAMILY
132 SAVONA DR,0.166,2756,2003,3,2,9/22/23,879900,SINGLE FAMILY
132 MORNING DEW CIR,0.0275,2314,2003,3,2,3/24/21,345000,TOWNHOUSE
128 SORIANO DR,0.0798,2427,2003,3,3,5/4/22,620000,TOWNHOUSE
125 BILBOA DR,0.1871,5412,2003,6,4,3/14/23,1700000,SINGLE FAMILY
125 BARCELONA DR,0.1495,3995,2003,4,4,6/6/23,1710000,SINGLE FAMILY
124 SEGOVIA WAY,0.3556,5487,2003,5,4,5/11/23,3050000,SINGLE FAMILY
122 MORNING DEW CIR,0.0275,2314,2003,3,2,2/27/23,500000,TOWNHOUSE
119 BILBOA DR,0.1719,5412,2003,5,5,6/9/23,1825000,SINGLE FAMILY
